Model,Fold,Accuracy,ROC_AUC
Logistic Regression,1,0.9473684210526315,0.9944317065181788
Random Forest,1,0.9649122807017544,0.9983622666229938
SVM,1,0.9385964912280702,0.9793645594497216
Logistic Regression,2,0.9122807017543859,0.9875532263347526
Random Forest,2,0.9385964912280702,0.9785456927612185
SVM,2,0.8771929824561403,0.9669177857844743
Logistic Regression,3,0.9473684210526315,0.9851190476190476
Random Forest,3,0.956140350877193,0.9788359788359788
SVM,3,0.8947368421052632,0.9507275132275131
Logistic Regression,4,0.956140350877193,0.9953703703703703
Random Forest,4,0.9473684210526315,0.9945436507936507
SVM,4,0.9385964912280702,0.9890873015873016
Logistic Regression,5,0.9734513274336283,0.999664654594232
Random Forest,5,0.9734513274336283,0.9924547283702214
SVM,5,0.9203539823008849,0.9926224010731053
